docid,doc_text
D1,Birds are raised in a place called an aviary.
D2,Cell tower distance can be checked using signal strength apps.
D3,Water boils at 100 degrees Celsius under normal conditions.
D4,The internet is a global network connecting millions of computers.
D5,Machine learning is a subset of artificial intelligence that learns from data.
D6,Healthy food includes fruits vegetables and balanced nutrition.
D7,Schools are institutions where students receive education.
D8,Money is a medium of exchange used to buy goods and services.
D9,Computers process data using hardware and software components.
D10,Mobile signal strength depends on distance from the nearest tower.